ItemName;ItemCode;Empresa;CreateDate;UpdateDate;U_Temporalidad;U_Estilo;U_Segmento;U_Silueta;U_Coleccion_NE;U_Liga;U_Team;U_Genero;U_Style_NE;U_Grid;U_License;U_Descripcion;U_Sport;U_Descrip_Color;U_Coleccion_Grupo;U_Talla;U_SellItem;BarCode
60748342/940 PNSTRP NVY TRUE/OSFM;8.10117E+12;SBO_00_DISRESALV;24/04/2025 00:00;8/05/2025 00:00;SS 25;;;;;;;;null;null;null;;null;;null;;1;1.98976E+11
60748343/940 PNSTRP DK GRN TRUE/OSFM;8.10117E+12;SBO_00_DISRESALV;24/04/2025 00:00;8/05/2025 00:00;SS 25;;;;;;;;null;null;null;;null;;null;;1;1.98976E+11
60748344/5950 LEOPARD BLK TRUE/700;8.10118E+12;SBO_00_DISRESALV;24/04/2025 00:00;8/05/2025 00:00;SS 25;;;;;;;;null;null;null;;null;;null;;1;1.98976E+11
60748344/5950 LEOPARD BLK TRUE/714;8.10118E+12;SBO_00_DISRESALV;24/04/2025 00:00;8/05/2025 00:00;SS 25;;;;;;;;null;null;null;;null;;null;;1;1.98976E+11
60748344/5950 LEOPARD BLK TRUE/718;8.10118E+12;SBO_00_DISRESALV;24/04/2025 00:00;8/05/2025 00:00;SS 25;;;;;;;;null;null;null;;null;;null;;1;1.98976E+11
60748344/5950 LEOPARD BLK TRUE/738;8.10118E+12;SBO_00_DISRESALV;24/04/2025 00:00;8/05/2025 00:00;SS 25;;;;;;;;null;null;null;;null;;null;;1;1.98976E+11
14499056/OS SS TEE NE BASIC CALLIGPH BACK BLACK/L;1.20118E+12;SBO_00_DISRESALV;24/04/2025 00:00;8/05/2025 00:00;SS 25;;;;;;;;null;null;null;;null;;null;;1;1.98582E+11
14499057/OS SS TEE NE BASIC CALLI BK CHROME WHITE/L;1.20118E+12;SBO_00_DISRESALV;24/04/2025 00:00;8/05/2025 00:00;SS 25;;;;;;;;null;null;null;;null;;null;;1;1.98582E+11
14499056/OS SS TEE NE BASIC CALLIGPH BACK BLACK/XL;1.20118E+12;SBO_00_DISRESALV;24/04/2025 00:00;8/05/2025 00:00;SS 25;;;;;;;;null;null;null;;null;;null;;1;1.98582E+11
14499057/OS SS TEE NE BASIC CALLI BK CHROME WHITE/S;1.20118E+12;SBO_00_DISRESALV;24/04/2025 00:00;8/05/2025 00:00;SS 25;;;;;;;;null;null;null;;null;;null;;1;1.98582E+11
14499057/OS SS TEE NE BASIC CALLI BK CHROME WHITE/M;1.20118E+12;SBO_00_DISRESALV;24/04/2025 00:00;8/05/2025 00:00;SS 25;;;;;;;;null;null;null;;null;;null;;1;1.98582E+11
14499057/OS SS TEE NE BASIC CALLI BK CHROME WHITE/XL;1.20118E+12;SBO_00_DISRESALV;24/04/2025 00:00;8/05/2025 00:00;SS 25;;;;;;;;null;null;null;;null;;null;;1;1.98582E+11
14499056/OS SS TEE NE BASIC CALLIGPH BACK BLACK/S;1.20118E+12;SBO_00_DISRESALV;24/04/2025 00:00;8/05/2025 00:00;SS 25;;;;;;;;null;null;null;;null;;null;;1;1.98582E+11
14499056/OS SS TEE NE BASIC CALLIGPH BACK BLACK/M;1.20118E+12;SBO_00_DISRESALV;24/04/2025 00:00;8/05/2025 00:00;SS 25;;;;;;;;null;null;null;;null;;null;;1;1.98582E+11
60597366/OS SS TEE NE BASIC CALLIGPH BACK BLACK/M;1.20118E+12;SBO_00_DISRESALV;24/04/2025 00:00;8/05/2025 00:00;SS 25;;;;;;;;;;;;;;;;;1.98582E+11
